,ID,AEP_MW
773,,128.5530772756859
774,,145.18350104736777
775,,1693.5246193892103
776,,7374.924875457691
777,,6630.813037307212
778,,1604.1485172491261
779,,348.91877064342793
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,128.63613983417628
798,,145.2773090938428
799,,1694.6188638113117
800,,7379.690067717663
801,,6635.097433351415
802,,1605.1850127019381
803,,349.14421904504655
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,128.7192023926666
822,,145.3711171403178
823,,1695.713108233413
824,,7384.455259977636
825,,6639.381829395616
826,,1606.22150815475
827,,349.3696674466651
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,128.80226495115693
846,,145.46492518679278
847,,1696.807352655514
848,,7389.220452237607
849,,6643.666225439818
850,,1607.2580036075617
851,,349.5951158482837
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,128.8853275096473
870,,145.5587332332678
871,,1697.9015970776156
872,,7393.985644497579
873,,6647.95062148402
874,,1608.2944990603737
875,,349.8205642499023
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,128.96839006813767
894,,145.6525412797428
895,,1698.9958414997168
896,,7398.75083675755
897,,6652.235017528222
898,,1609.3309945131855
899,,350.04601265152087
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,129.05145262662802
918,,145.74634932621777
919,,1700.090085921818
920,,7403.516029017523
921,,6656.519413572423
922,,1610.3674899659973
923,,350.27146105313943
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,129.1345151851184
942,,145.84015737269277
943,,1701.184330343919
944,,7408.281221277495
945,,6660.803809616626
946,,1611.403985418809
947,,350.496909454758
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,129.21757774360873
966,,145.93396541916778
967,,1702.2785747660205
968,,7413.046413537467
969,,6665.088205660828
970,,1612.4404808716208
971,,350.72235785637656
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,129.30064030209908
990,,146.02777346564278
991,,1703.3728191881219
992,,7417.81160579744
993,,6669.37260170503
994,,1613.476976324433
995,,350.9478062579952
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,129.38370286058944
1014,,146.12158151211779
1015,,1704.4670636102228
1016,,7422.576798057411
1017,,6673.656997749232
1018,,1614.5134717772448
1019,,351.1732546596137
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,129.4667654190798
1038,,146.2153895585928
1039,,1705.5613080323244
1040,,7427.3419903173835
1041,,6677.941393793433
1042,,1615.5499672300566
1043,,351.39870306123225
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,129.54982797757015
1062,,146.30919760506777
1063,,1706.6555524544256
1064,,7432.107182577356
1065,,6682.225789837636
1066,,1616.5864626828688
1067,,351.6241514628509
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,129.63289053606053
1086,,146.40300565154277
1087,,1707.7497968765267
1088,,7436.872374837328
1089,,6686.510185881838
1090,,1617.6229581356806
1091,,351.84959986446944
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,129.71595309455085
1110,,146.49681369801777
1111,,1708.8440412986283
1112,,7441.637567097299
1113,,6690.7945819260385
1114,,1618.6594535884924
1115,,352.075048266088
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,129.79901565304124
1134,,146.59062174449275
1135,,1709.9382857207293
1136,,7446.402759357271
1137,,6695.078977970242
1138,,1619.6959490413044
1139,,352.3004966677066
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,129.88207821153156
1158,,146.68442979096776
1159,,1711.0325301428306
1160,,7451.167951617243
1161,,6699.363374014443
1162,,1620.7324444941162
1163,,352.5259450693252
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,129.96514077002195
1182,,146.7782378374428
1183,,1712.126774564932
1184,,7455.933143877215
1185,,6703.647770058646
1186,,1621.7689399469282
1187,,352.75139347094375
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,130.0482033285123
1206,,146.87204588391776
1207,,1713.2210189870332
1208,,7460.698336137188
1209,,6707.932166102848
1210,,1622.80543539974
1211,,352.9768418725623
1212,,
